,Name,Sex,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date,BodyweightLb,WeightClassLb,Best3SquatLb,Best3BenchLb,Best3DeadliftLb,TotalLb,MeetYear
0,AJ Dymond,M,Raw,16.0,16-17,TJ16-17,87.6,90.0,200.0,120.0,205.0,525.0,1,344.21,339.92,326.18,70.74,2024-03-16,193.1,198.4,440.8,264.5,451.8,1157.1,2024
1,Kathryn Laird,F,Raw,16.0,16-17,Teen 16-17,59.74,60.0,67.5,35.0,87.5,190.0,1,211.2,212.54,187.8,43.08,2022-01-16,131.7,132.2,148.8,77.1,192.9,418.8,2022
2,Alysia Peters,F,Raw,17.0,16-17,Teen 16-17,60.69,67.5,65.0,30.0,87.5,182.5,1,200.86,201.68,178.17,40.93,2022-01-16,133.8,148.8,143.3,66.1,192.9,402.2,2022
3,Naomi Kutin,F,Raw,20.0,20-23,Open,64.14,67.5,155.5,60.0,182.5,398.0,1,423.44,421.7,372.29,86.09,2022-01-16,141.4,148.8,342.7,132.2,402.2,877.2,2022
4,Isabella Smith,F,Raw,16.0,16-17,Teen 16-17,69.81,75.0,62.5,37.5,107.5,207.5,1,210.16,206.82,182.32,42.71,2022-01-16,153.9,165.3,137.8,82.6,236.9,457.3,2022
5,Michael Neziri,M,Raw,11.0,5-12,Youth,29.39,48.0,35.0,20.0,52.5,107.5,1,136.64,143.56,142.37,25.74,2022-01-16,64.8,105.8,77.1,44.1,115.7,236.9,2022
6,Alijah Rubang,M,Raw,16.0,16-17,Teen 16-17,59.97,60.0,77.5,47.5,120.0,245.0,1,206.88,209.05,204.14,40.19,2022-01-16,132.2,132.2,170.8,104.7,264.5,540.0,2022
7,Joshua Persaud,M,Raw,16.0,16-17,Teen 16-17,60.46,67.5,97.5,75.0,155.0,327.5,1,274.7,277.38,270.75,53.49,2022-01-16,133.3,148.8,214.9,165.3,341.6,721.8,2022
8,Darrell Terio,M,Raw,14.0,13-15,Teen 14-15,71.76,75.0,57.5,45.0,102.5,205.0,1,151.4,150.78,145.97,30.58,2022-01-16,158.2,165.3,126.7,99.2,225.9,451.8,2022
9,Tykhon Rudenok,M,Raw,18.0,18-19,Teen 18-19,73.62,75.0,115.0,82.5,160.0,357.5,1,259.57,258.1,249.58,52.62,2022-01-16,162.3,165.3,253.5,181.8,352.6,787.9,2022
